title,authors,abstract,pdf_url,year
Simplify and Robustify Negative Sampling for Implicit Collaborative Filtering,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0c7119e3a6a2209da6a5b90e5b5b75bd-Paper.pdf,2020
Model Selection for Production System via Automated Online Experiments,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0c72cb7ee1512f800abe27823a792d03-Paper.pdf,2020
On the Almost Sure Convergence of Stochastic Gradient Descent in Non-Convex Problems,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0cb5ebb1b34ec343dfe135db691e4a85-Paper.pdf,2020
Automatic Perturbation Analysis for Scalable Certified Robustness and Beyond,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0cbc5671ae26f67871cb914d81ef8fc1-Paper.pdf,2020
Adaptation Properties Allow Identification of Optimized Neural Codes,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0cc24cb7c26586310cc95c8cb1a81cbc-Paper.pdf,2020
Global Convergence and Variance Reduction for a Class of Nonconvex-Nonconcave Minimax Problems,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0cc6928e741d75e7a92396317522069e-Paper.pdf,2020
Online Influence Maximization under Linear Threshold Model,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d352b4d3a317e3eae221199fdb49651-Paper.pdf,2020
Model-Based Multi-Agent RL in Zero-Sum Markov Games with Near-Optimal Sample Complexity,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0cc6ee01c82fc49c28706e0918f57e2d-Paper.pdf,2020
Conservative Q-Learning for Offline Reinforcement Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d2b2061826a5df3221116a5085a6052-Paper.pdf,2020
Asymmetric Shapley values: incorporating causal knowledge into model-agnostic explainability,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d770c496aa3da6d2c3f2bd19e7b9d6b-Paper.pdf,2020
Blind Video Temporal Consistency via Deep Video Prior,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0c0a7566915f4f24853fc4192689aa7e-Paper.pdf,2020
Ensembling geophysical models with Bayesian Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d5501edb21a59a43435efa67f200828-Paper.pdf,2020
Planning in Markov Decision Processes with Gap-Dependent Sample Complexity,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d85eb24e2add96ff1a7021f83c1abc9-Paper.pdf,2020
Provably Good Batch Off-Policy Reinforcement Learning Without Great Exploration,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0dc23b6a0e4abc39904388dd3ffadcd1-Paper.pdf,2020
Detection as Regression: Certified Object Detection with Median Smoothing,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0dd1bc593a91620daecf7723d2235624-Paper.pdf,2020
Contextual Reserve Price Optimization in Auctions via Mixed Integer Programming,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0e1bacf07b14673fcdb553da51b999a5-Paper.pdf,2020
ExpandNets: Linear Over-parameterization to Train Compact Convolutional Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0e1ebad68af7f0ae4830b7ac92bc3c6f-Paper.pdf,2020
FleXOR: Trainable Fractional Quantization,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0e230b1a582d76526b7ad7fc62ae937d-Paper.pdf,2020
Understanding Deep Architecture with Reasoning Layer,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d82627e10660af39ea7eb69c3568955-Paper.pdf,2020
The Implications of Local Correlation on Learning Some Deep Functions,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0e4ceef65add6cf21c0f3f9da53b71c0-Paper.pdf,2020
A Game Theoretic Analysis of Additive Adversarial Attacks and Defenses,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0ea6f098a59fcf2462afc50d130ff034-Paper.pdf,2020
Recurrent Quantum Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0ec96be397dd6d3cf2fecb4a2d627c1c-Paper.pdf,2020
Posterior Network: Uncertainty Estimation without OOD Samples via Density-Based Pseudo-Counts,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0eac690d7059a8de4b48e90f14510391-Paper.pdf,2020
Learning to search efficiently for causally near-optimal treatments,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0e900ad84f63618452210ab8baae0218-Paper.pdf,2020
No-Regret Learning and Mixed Nash Equilibria: They Do Not Mix,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0ed9422357395a0d4879191c66f4faa2-Paper.pdf,2020
A Unifying View of Optimism in Episodic Reinforcement Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0f0e13216262f4a201bec128044dd30f-Paper.pdf,2020
Continuous Submodular Maximization: Beyond DR-Submodularity,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0f34132b15dd02f282a11ea1e322a96d-Paper.pdf,2020
An Asymptotically Optimal Primal-Dual Incremental Algorithm for Contextual Linear Bandits,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0f34314d2dd0c1b9311cb8f40eb4f255-Paper.pdf,2020
On the Similarity between the Laplace and Neural Tangent Kernels,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1006ff12c465532f8c574aeaa4461b16-Paper.pdf,2020
Assessing SATNet's Ability to Solve the Symbol Grounding Problem,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0ff8033cf9437c213ee13937b1c4c455-Paper.pdf,2020
Debugging Tests for Model Explanations,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/075b051ec3d22dac7b33f788da631fd4-Paper.pdf,2020
HiPPO: Recurrent Memory with Optimal Polynomial Projections,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/102f0bb6efb3a6128a3c750dd16729be-Paper.pdf,2020
A causal view of compositional zero-shot recognition,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1010cedf85f6a7e24b087e63235dc12e-Paper.pdf,2020
CASTLE: Regularization via Auxiliary Causal Graph Discovery,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1068bceb19323fe72b2b344ccf85c254-Paper.pdf,2020
Auto Learning Attention,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/103303dd56a731e377d01f6a37badae3-Paper.pdf,2020
Long-Tailed Classification by Keeping the Good and Removing the Bad Momentum Causal Effect,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1091660f3dff84fd648efe31391c5524-Paper.pdf,2020
Explainable Voting,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/10c72a9d42dd07a028ee910f7854da5d-Paper.pdf,2020
Delving into the Cyclic Mechanism in Semi-supervised Video Object Segmentation,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0d5bd023a3ee11c7abca5b42a93c4866-Paper.pdf,2020
Re-Examining Linear Embeddings for High-Dimensional Bayesian Optimization,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/10fb6cfa4c990d2bad5ddef4f70e8ba2-Paper.pdf,2020
Deep Archimedean Copulas,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/10eb6500bd1e4a3704818012a1593cc3-Paper.pdf,2020
A Bayesian Nonparametrics View into Deep Representations,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0ffaca95e3e5242ba1097ad8a9a6e95d-Paper.pdf,2020
Neural Networks Fail to Learn Periodic Functions and How to Fix It,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1160453108d3e537255e9f7b931f4e90-Paper.pdf,2020
Learning to Dispatch for Job Shop Scheduling via Deep Reinforcement Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/11958dfee29b6709f48a9ba0387a2431-Paper.pdf,2020
On Adaptive Attacks to Adversarial Example Defenses,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/11f38f8ecd71867b42433548d1078e38-Paper.pdf,2020
UnModNet: Learning to Unwrap a Modulo Image for High Dynamic Range Imaging,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1102a326d5f7c9e04fc3c89d0ede88c9-Paper.pdf,2020
Distribution Matching for Crowd Counting,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/118bd558033a1016fcc82560c65cca5f-Paper.pdf,2020
Online Sinkhorn: Optimal Transport distances from sample streams,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/123650dd0560587918b3d771cf0c0171-Paper.pdf,2020
Sinkhorn Natural Gradient for Generative Models,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/122e27d57ae8ecb37f3f1da67abb33cb-Paper.pdf,2020
Thunder: a Fast Coordinate Selection Solver for  Sparse Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/11348e03e23b137d55d94464250a67a2-Paper.pdf,2020
Compositional Generalization via Neural-Symbolic Stack Machines,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/12b1e42dc0746f22cf361267de07073f-Paper.pdf,2020
Unreasonable Effectiveness of Greedy Algorithms in Multi-Armed Bandit with Many Arms,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/12d16adf4a9355513f9d574b76087a08-Paper.pdf,2020
Graphon Neural Networks and the Transferability of Graph Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/12bcd658ef0a540cabc36cdf2b1046fd-Paper.pdf,2020
Ultrahyperbolic Representation Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/123b7f02433572a0a560e620311a469c-Paper.pdf,2020
Deep Transformers with Latent Depth,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1325cdae3b6f0f91a1b629307bf2d498-Paper.pdf,2020
Locally-Adaptive Nonparametric Online Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/12780ea688a71dabc284b064add459a4-Paper.pdf,2020
A Scalable MIP-based Method for Learning Optimal Multivariate Decision Trees,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1373b284bc381890049e92d324f56de0-Paper.pdf,2020
Efficient Exact Verification of Binarized Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1385974ed5904a438616ff7bdb3f7439-Paper.pdf,2020
Correspondence learning via linearly-invariant embedding,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/11953163dd7fb12669b41a48f78a29b6-Paper.pdf,2020
Ultra-Low Precision 4-bit Training of Deep Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/13b919438259814cd5be8cb45877d577-Paper.pdf,2020
Statistical control for spatio-temporal MEG/EEG source imaging with desparsified mutli-task Lasso,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/1359aa933b48b754a2f54adb688bfa77-Paper.pdf,2020
Outlier Robust Mean Estimation with Subgaussian Rates via Stability,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/13ec9935e17e00bed6ec8f06230e33a9-Paper.pdf,2020
On Numerosity of Deep Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/13e36f06c66134ad65f532e90d898545-Paper.pdf,2020
Information Theoretic Counterfactual Learning from Missing-Not-At-Random Feedback,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/13f3cf8c531952d72e5847c4183e6910-Paper.pdf,2020
